epoch,step,hour,lr,trn_loss,val_loss,val_l1_v,val_l1_a
0,0,0.0013996718989478217,2e-05,7.77567720413208,nan,nan,nan
0,0,0.003555792835023668,2e-05,nan,7.36951132254167,,
2,1000,0.2127422105603748,2e-05,4.670354743480682,nan,nan,nan
4,2000,0.4237499357594384,2e-05,4.116752415657044,nan,nan,nan
7,3000,0.6360466493500604,2e-05,3.832698058128357,nan,nan,nan
9,4000,0.8478436258766386,2e-05,3.6599860384464264,nan,nan,nan
11,5000,1.0598864697085486,2e-05,3.5516734807491304,nan,nan,nan
14,6000,1.272019751601749,2e-05,3.4669761865139006,nan,nan,nan
16,7000,1.4844245423873266,2e-05,3.398597320795059,nan,nan,nan
18,8000,1.7036061664422353,2e-05,3.345190330028534,nan,nan,nan
18,8000,1.70649077170425,2e-05,nan,3.359845421530984,,
21,9000,1.9189930111169815,2e-05,3.302078233718872,nan,nan,nan
23,10000,2.1323468406995136,2e-05,3.266577168941498,nan,nan,nan
25,11000,2.346076129939821,2e-05,3.2337823929786684,nan,nan,nan
28,12000,2.55968240055773,2e-05,3.205540263175964,nan,nan,nan
30,13000,2.7735197752051883,2e-05,3.18323432970047,nan,nan,nan
32,14000,2.9871133214235304,2e-05,3.1590158705711366,nan,nan,nan
35,15000,3.2007001547018685,2e-05,3.1390834164619448,nan,nan,nan
37,16000,3.4199829388327068,2e-05,3.126263985157013,nan,nan,nan
37,16000,3.4228921384281583,2e-05,nan,3.15083833174272,,
39,17000,3.6358466285467146,2e-05,3.1053256783485415,nan,nan,nan
42,18000,3.850215279923545,2e-05,3.092542583703995,nan,nan,nan
44,19000,4.0642519266737835,2e-05,3.0776570432186126,nan,nan,nan
46,20000,4.277586390839683,2e-05,3.0636999051570895,nan,nan,nan
49,21000,4.491175624463294,2e-05,3.0522646338939667,nan,nan,nan
51,22000,4.705002002914747,2e-05,3.0380550298690796,nan,nan,nan
53,23000,4.91833916299873,2e-05,3.03257968711853,nan,nan,nan
56,24000,5.1380538266234925,2e-05,3.0136602516174316,nan,nan,nan
56,24000,5.140979062318802,2e-05,nan,3.08288405158303,,
56,24000,5.144657562110159,2e-05,2.916192054748535,nan,nan,nan
56,24000,5.146804758707682,2e-05,nan,3.0797289935025303,,
58,25000,5.3569475628270045,2e-05,3.0086742227077483,nan,nan,nan
60,26000,5.569648619161711,2e-05,2.997667047262192,nan,nan,nan
63,27000,5.7825142969025505,2e-05,2.9894936583042147,nan,nan,nan
63,27000,5.784027707245615,2e-05,3.037424325942993,nan,nan,nan
65,28000,5.996466927395926,2e-05,2.981005717754364,nan,nan,nan
67,29000,6.209695736434725,2e-05,2.9729851169586183,nan,nan,nan
70,30000,6.4223919897609285,2e-05,2.9659179632663726,nan,nan,nan
72,31000,6.635983564919895,2e-05,2.9582087564468384,nan,nan,nan
74,32000,6.855967560940319,2e-05,2.9494413063526155,nan,nan,nan
74,32000,6.858929622438219,2e-05,nan,3.0114289088682695,,
77,33000,7.072707074350781,2e-05,2.944613484144211,nan,nan,nan
79,34000,7.28624260617627,2e-05,2.935232224702835,nan,nan,nan
81,35000,7.500237020187908,2e-05,2.9284250254631043,nan,nan,nan
84,36000,7.7151091145806845,2e-05,2.9188830597400663,nan,nan,nan
86,37000,7.929271477328406,2e-05,2.916773483276367,nan,nan,nan
88,38000,8.143420225448079,2e-05,2.9085322713851927,nan,nan,nan
91,39000,8.357955605718825,2e-05,2.9029570994377134,nan,nan,nan
93,40000,8.578727569050258,2e-05,2.895298351287842,nan,nan,nan
93,40000,8.58167826169067,2e-05,nan,2.9811457937413994,,
95,41000,8.796241538325946,2e-05,2.8920288398265837,nan,nan,nan
98,42000,9.011179190211825,2e-05,2.887048388004303,nan,nan,nan
